id,month,region,main_category,sub_category,product_line,price_tier,units_sold,revenue_usd,online_sales_percentage,retail_price
345,September,India,Apparel,Performance,Compression Wear,Budget,22409,2240900,88,100
346,December,Europe,Equipment,Bags,Backpack,Mid-Range,47159,8488620,63,180
347,June,South Korea,Footwear,Running,React Infinity,Budget,15441,1389690,69,90
348,October,America,Equipment,Socks,Crew Socks,Mid-Range,22124,4203560,66,190
349,July,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,42975,8165250,51,190
350,August,South Korea,Apparel,Tops,Therma-FIT,Mid-Range,31132,9339600,72,300
351,August,Greater China,Apparel,Performance,Compression Wear,Premium,33233,1993980,79,60
352,March,Japan,Footwear,Football,Phantom Vision,Budget,37977,5316780,63,140
353,April,Greater China,Equipment,Bags,Backpack,Premium,23761,4276980,58,180
354,January,Southeast Asia,Equipment,Accessories,Hats,Mid-Range,33515,7038150,79,210
355,December,Japan,Footwear,Cricket,Vapor Cricket,Premium,6901,1311190,85,190
356,June,Greater China,Equipment,Socks,Performance Socks,Premium,14683,1321470,77,90
357,June,Japan,Apparel,Performance,Dri-FIT,Mid-Range,46881,9376200,61,200
358,October,Greater China,Equipment,Socks,Crew Socks,Budget,10283,1748110,90,170
359,May,Europe,Apparel,Outerwear,Rain Jacket,Premium,42546,12338340,82,290
360,April,Southeast Asia,Equipment,Accessories,Bags,Premium,34149,9220230,66,270
361,January,India,Footwear,Cricket,Vapor Cricket,Premium,9058,1992760,67,220
362,August,Europe,Apparel,Performance,Compression Wear,Premium,21220,2970800,66,140
363,May,Europe,Footwear,Lifestyle,Air Force 1,Premium,18939,4355970,78,230
364,February,America,Apparel,Outerwear,Rain Jacket,Mid-Range,49117,12279250,77,250
365,September,Greater China,Footwear,Running,Air Zoom,Mid-Range,22363,2236300,56,100
366,October,Greater China,Apparel,Tops,Therma-FIT,Premium,36093,3248370,80,90
367,December,Europe,Apparel,Tops,Therma-FIT,Mid-Range,29938,4191320,82,140
368,December,India,Footwear,Football,Phantom Vision,Budget,29603,3552360,86,120
369,January,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,5028,1458120,61,290
370,July,South Korea,Equipment,Socks,Crew Socks,Premium,27507,5226330,81,190
371,February,Europe,Footwear,Lifestyle,Air Max,Budget,46945,2347250,53,50
446,January,America,Apparel,Tops,Therma-FIT,Budget,40979,6966430,59,170
372,December,Europe,Equipment,Accessories,Hats,Mid-Range,32757,3603270,73,110
373,May,Greater China,Equipment,Bags,Gym Sack,Budget,38906,7392140,68,190
374,February,America,Equipment,Accessories,Bags,Mid-Range,30682,4909120,61,160
375,May,Japan,Apparel,Outerwear,Windrunner,Budget,15518,4500220,90,290
376,October,Europe,Apparel,Tops,Tech Fleece,Budget,32693,9480970,80,290
377,November,India,Apparel,Outerwear,Windrunner,Premium,28203,2538270,72,90
378,June,India,Footwear,Cricket,Vapor Cricket,Premium,22074,1986660,87,90
379,December,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,25467,7640100,50,300
380,November,America,Equipment,Accessories,Bags,Premium,38234,9176160,89,240
381,December,Greater China,Apparel,Performance,Dri-FIT,Premium,32321,1616050,60,50
382,October,Japan,Footwear,Basketball,LeBron Series,Premium,33902,4746280,85,140
383,December,Japan,Apparel,Performance,Dri-FIT,Budget,32475,1948500,65,60
384,June,Europe,Apparel,Outerwear,Windrunner,Premium,8847,707760,89,80
385,September,Europe,Apparel,Performance,Dri-FIT,Premium,19422,1747980,67,90
386,February,Greater China,Equipment,Bags,Gym Sack,Mid-Range,40582,2434920,71,60
387,January,South Korea,Equipment,Socks,Performance Socks,Premium,26112,2350080,74,90
388,February,Greater China,Equipment,Socks,Crew Socks,Premium,19653,5109780,62,260
389,October,Greater China,Footwear,Football,Phantom Vision,Premium,6574,1314800,68,200
390,December,South Korea,Apparel,Tops,Therma-FIT,Budget,49440,7910400,51,160
391,August,South Korea,Apparel,Performance,Dri-FIT,Budget,27540,4681800,57,170
392,August,Europe,Apparel,Tops,Tech Fleece,Mid-Range,13998,3219540,54,230
393,August,India,Equipment,Accessories,Hats,Budget,14433,3896910,76,270
394,October,America,Footwear,Lifestyle,Air Force 1,Budget,14744,4275760,54,290
395,December,India,Footwear,Cricket,Vapor Cricket,Budget,14969,1945970,69,130
396,July,India,Footwear,Cricket,Vapor Cricket,Premium,46453,12542310,88,270
397,November,Europe,Footwear,Lifestyle,Blazer,Premium,11602,3016520,72,260
398,March,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,42594,5537220,62,130
399,August,Southeast Asia,Apparel,Tops,Therma-FIT,Premium,33352,7003920,86,210
400,November,America,Apparel,Performance,Compression Wear,Mid-Range,41786,9192920,55,220
401,December,India,Footwear,Cricket,Vapor Cricket,Budget,44252,6195280,62,140
402,January,Greater China,Apparel,Outerwear,Rain Jacket,Mid-Range,20117,4828080,75,240
403,December,India,Apparel,Performance,Dri-FIT,Mid-Range,40025,4402750,85,110
404,September,South Korea,Footwear,Football,Mercurial,Mid-Range,43362,12574980,73,290
405,July,Greater China,Equipment,Bags,Gym Sack,Mid-Range,33968,10190400,83,300
406,March,America,Apparel,Outerwear,Windrunner,Budget,45678,9135600,56,200
407,April,Europe,Apparel,Tops,Tech Fleece,Premium,23175,5793750,53,250
408,October,America,Apparel,Outerwear,Rain Jacket,Mid-Range,9049,814410,76,90
409,September,Greater China,Footwear,Lifestyle,Air Max,Budget,25365,2790150,79,110
410,January,Southeast Asia,Equipment,Bags,Gym Sack,Budget,13843,1938020,61,140
411,February,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,35728,7145600,60,200
412,August,India,Equipment,Socks,Crew Socks,Mid-Range,33377,9679330,76,290
413,April,Japan,Apparel,Outerwear,Windrunner,Budget,28314,5945940,62,210
414,June,South Korea,Apparel,Performance,Dri-FIT,Premium,37643,10916470,75,290
415,December,India,Footwear,Football,Mercurial,Mid-Range,27618,4971240,86,180
416,June,Japan,Footwear,Cricket,Vapor Cricket,Budget,37621,1881050,72,50
417,September,Greater China,Apparel,Performance,Compression Wear,Premium,25267,2526700,79,100
418,July,Japan,Apparel,Performance,Compression Wear,Mid-Range,16592,4148000,75,250
419,November,America,Apparel,Outerwear,Rain Jacket,Mid-Range,49607,7937120,66,160
420,February,Europe,Apparel,Performance,Dri-FIT,Budget,43928,5710640,77,130
421,August,Europe,Footwear,Lifestyle,Air Force 1,Budget,33205,8301250,62,250
422,September,Europe,Footwear,Basketball,LeBron Series,Budget,37183,8923920,62,240
423,July,Southeast Asia,Footwear,Football,Mercurial,Premium,8844,1503480,54,170
424,March,Europe,Footwear,Cricket,Vapor Cricket,Premium,39686,7937200,74,200
425,November,India,Equipment,Bags,Gym Sack,Budget,40146,7627740,58,190
426,November,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47036,7525760,90,160
427,November,Japan,Footwear,Football,Phantom Vision,Mid-Range,37697,10932130,56,290
428,July,India,Apparel,Tops,Therma-FIT,Mid-Range,12534,1253400,71,100
429,August,America,Equipment,Accessories,Hats,Premium,16469,1646900,54,100
430,March,Southeast Asia,Equipment,Bags,Backpack,Premium,17306,5018740,84,290
431,September,Southeast Asia,Footwear,Football,Phantom Vision,Mid-Range,15743,2833740,73,180
432,June,Japan,Equipment,Accessories,Bags,Premium,47008,8931520,82,190
433,October,Southeast Asia,Footwear,Cricket,Vapor Cricket,Budget,26778,4552260,60,170
434,July,America,Apparel,Outerwear,Windrunner,Mid-Range,45702,10054440,85,220
435,November,India,Apparel,Performance,Dri-FIT,Budget,35001,9450270,89,270
436,February,India,Apparel,Performance,Compression Wear,Premium,20724,5802720,86,280
437,August,Japan,Equipment,Socks,Performance Socks,Mid-Range,20899,3970810,88,190
438,December,Southeast Asia,Equipment,Accessories,Hats,Premium,6354,1461420,88,230
439,September,Greater China,Equipment,Accessories,Hats,Mid-Range,47675,9058250,66,190
440,July,Europe,Equipment,Accessories,Hats,Mid-Range,31264,2188480,70,70
441,September,Japan,Equipment,Socks,Crew Socks,Premium,25606,5889380,72,230
442,August,Europe,Apparel,Performance,Dri-FIT,Budget,23432,7029600,80,300
443,October,Greater China,Footwear,Football,Mercurial,Premium,46670,10734100,62,230
444,July,America,Apparel,Outerwear,Windrunner,Mid-Range,8524,1363840,59,160
445,March,Southeast Asia,Apparel,Performance,Dri-FIT,Premium,16444,2795480,67,170
447,July,Europe,Equipment,Accessories,Bags,Budget,7218,938340,90,130
448,December,India,Equipment,Bags,Gym Sack,Premium,20868,1878120,87,90
449,January,India,Apparel,Outerwear,Windrunner,Budget,25837,2583700,76,100
450,May,India,Equipment,Socks,Performance Socks,Premium,6420,642000,56,100
451,March,Southeast Asia,Equipment,Socks,Crew Socks,Premium,35346,8836500,56,250
452,October,Greater China,Footwear,Cricket,Vapor Cricket,Premium,37169,1858450,74,50
453,April,Greater China,Apparel,Outerwear,Rain Jacket,Budget,45530,12748400,58,280
454,November,South Korea,Equipment,Socks,Performance Socks,Mid-Range,24849,2484900,58,100
455,June,Greater China,Footwear,Basketball,Air Jordan,Premium,24607,4429260,72,180
456,October,Europe,Equipment,Socks,Crew Socks,Mid-Range,22460,1347600,67,60
457,February,Southeast Asia,Apparel,Tops,Tech Fleece,Mid-Range,17571,1932810,52,110
458,May,India,Footwear,Football,Mercurial,Premium,20632,5776960,90,280
459,August,South Korea,Equipment,Bags,Gym Sack,Budget,7095,1206150,83,170
460,July,Southeast Asia,Apparel,Performance,Compression Wear,Budget,9612,1441800,79,150
461,February,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,23362,4205160,88,180
462,February,India,Apparel,Tops,Tech Fleece,Premium,28434,7392840,55,260
463,March,America,Apparel,Outerwear,Windrunner,Mid-Range,30604,7038920,72,230
464,May,Southeast Asia,Apparel,Performance,Compression Wear,Budget,12383,1362130,90,110
465,August,Japan,Apparel,Outerwear,Windrunner,Mid-Range,46249,9249800,53,200
466,October,Japan,Apparel,Performance,Compression Wear,Budget,43439,3475120,59,80
467,April,South Korea,Apparel,Tops,Therma-FIT,Premium,49510,3465700,54,70
468,February,South Korea,Footwear,Running,Air Zoom,Mid-Range,13052,3654560,58,280
469,August,America,Equipment,Socks,Crew Socks,Premium,28395,6530850,57,230
470,January,Europe,Apparel,Tops,Therma-FIT,Mid-Range,38487,7697400,81,200
471,January,South Korea,Footwear,Lifestyle,Blazer,Budget,11484,2871000,51,250
472,October,Southeast Asia,Footwear,Running,Pegasus,Mid-Range,21146,5709420,70,270
473,July,Europe,Equipment,Accessories,Hats,Premium,19271,1348970,78,70
474,June,Greater China,Footwear,Lifestyle,Blazer,Budget,42446,3395680,81,80
475,March,South Korea,Apparel,Tops,Tech Fleece,Budget,45929,7348640,66,160
476,January,Southeast Asia,Equipment,Socks,Crew Socks,Premium,17022,1021320,52,60
477,July,Japan,Apparel,Tops,Tech Fleece,Mid-Range,30406,6081200,87,200
478,April,Southeast Asia,Apparel,Performance,Compression Wear,Premium,31840,3502400,65,110
479,December,Japan,Apparel,Performance,Compression Wear,Budget,37396,5609400,59,150
480,September,Europe,Apparel,Tops,Tech Fleece,Budget,34475,5171250,71,150
481,June,India,Apparel,Outerwear,Rain Jacket,Budget,19448,2528240,54,130
482,December,Europe,Equipment,Socks,Performance Socks,Mid-Range,20448,5725440,60,280
483,February,Greater China,Footwear,Running,Pegasus,Premium,21015,4833450,62,230
484,May,Europe,Footwear,Basketball,KD Series,Mid-Range,40905,8181000,57,200
485,July,Greater China,Footwear,Football,Phantom Vision,Budget,14436,1443600,54,100
486,January,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,25907,7253960,66,280
487,May,Southeast Asia,Equipment,Accessories,Hats,Premium,19861,1588880,84,80
488,December,India,Equipment,Accessories,Hats,Premium,11839,828730,64,70
489,November,Greater China,Equipment,Accessories,Bags,Budget,32418,4214340,71,130
490,April,America,Equipment,Bags,Backpack,Budget,45099,9019800,50,200
491,March,America,Footwear,Football,Mercurial,Mid-Range,14208,3978240,68,280
492,November,India,Equipment,Socks,Crew Socks,Premium,39891,11568390,64,290
493,September,South Korea,Equipment,Bags,Backpack,Mid-Range,11286,1467180,88,130
494,August,Japan,Apparel,Performance,Dri-FIT,Mid-Range,31674,9502200,86,300
495,February,South Korea,Apparel,Outerwear,Windrunner,Budget,48413,8230210,86,170
496,June,Japan,Footwear,Running,React Infinity,Premium,13360,3740800,66,280
497,July,India,Apparel,Tops,Tech Fleece,Mid-Range,18488,2218560,59,120
498,November,Southeast Asia,Footwear,Football,Mercurial,Mid-Range,10346,1862280,79,180
499,November,India,Apparel,Performance,Dri-FIT,Mid-Range,49315,9369850,70,190
500,February,Greater China,Apparel,Tops,Tech Fleece,Mid-Range,31688,7605120,58,240
501,December,India,Equipment,Accessories,Bags,Budget,35804,5370600,71,150
502,April,Europe,Apparel,Outerwear,Windrunner,Mid-Range,9045,2442150,86,270
503,March,Japan,Equipment,Socks,Performance Socks,Premium,11050,1768000,90,160
504,July,South Korea,Equipment,Bags,Backpack,Mid-Range,39059,5858850,61,150
505,February,America,Equipment,Socks,Crew Socks,Budget,21955,3512800,87,160
506,February,South Korea,Footwear,Lifestyle,Air Max,Budget,36286,1814300,64,50
507,February,India,Footwear,Running,Air Zoom,Budget,29636,7409000,73,250
508,August,Japan,Equipment,Socks,Performance Socks,Premium,49808,6973120,53,140
509,June,Southeast Asia,Footwear,Running,React Infinity,Premium,20135,1208100,85,60
510,November,America,Equipment,Accessories,Hats,Premium,5398,1403480,89,260
511,September,India,Apparel,Tops,Therma-FIT,Mid-Range,49772,6968080,83,140
512,September,Greater China,Equipment,Socks,Crew Socks,Premium,20657,1239420,72,60
513,September,Southeast Asia,Equipment,Bags,Backpack,Budget,9556,2006760,81,210
514,August,Southeast Asia,Apparel,Outerwear,Rain Jacket,Premium,24716,3707400,56,150
515,July,Japan,Apparel,Performance,Dri-FIT,Premium,36813,9571380,90,260
516,February,India,Apparel,Tops,Tech Fleece,Budget,38922,9341280,78,240
517,June,India,Equipment,Bags,Backpack,Budget,21700,5642000,76,260
518,November,India,Equipment,Socks,Crew Socks,Premium,30607,1530350,67,50
519,December,Southeast Asia,Footwear,Basketball,LeBron Series,Premium,41927,8804670,69,210
520,February,Europe,Footwear,Basketball,Air Jordan,Premium,14104,1410400,85,100
521,March,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,48694,14608200,53,300
522,December,India,Apparel,Performance,Dri-FIT,Mid-Range,41095,3698550,81,90
523,June,India,Apparel,Performance,Compression Wear,Mid-Range,14939,2987800,58,200
524,April,Japan,Footwear,Running,Pegasus,Budget,10699,1925820,75,180
525,April,America,Footwear,Cricket,Vapor Cricket,Budget,13044,2347920,56,180
526,June,America,Apparel,Tops,Therma-FIT,Mid-Range,10066,1912540,72,190
527,December,India,Footwear,Football,Mercurial,Mid-Range,43215,10371600,72,240
528,April,India,Equipment,Socks,Performance Socks,Premium,31752,5080320,89,160
529,January,America,Footwear,Cricket,Vapor Cricket,Budget,28077,3930780,66,140
530,October,South Korea,Equipment,Bags,Backpack,Budget,38088,11045520,70,290
531,January,South Korea,Apparel,Outerwear,Windrunner,Budget,15527,1086890,81,70
532,September,India,Apparel,Outerwear,Rain Jacket,Mid-Range,25307,4555260,63,180
533,December,India,Footwear,Cricket,Vapor Cricket,Premium,27087,7584360,75,280
534,June,India,Apparel,Tops,Tech Fleece,Budget,30241,7257840,74,240
535,January,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,36693,2201580,55,60
536,July,India,Apparel,Outerwear,Rain Jacket,Budget,22371,4921620,50,220
537,March,South Korea,Apparel,Tops,Therma-FIT,Budget,29212,5550280,54,190
538,May,Greater China,Equipment,Bags,Gym Sack,Budget,41079,6161850,84,150
539,May,South Korea,Footwear,Lifestyle,Air Force 1,Premium,24535,4170950,71,170
540,October,Greater China,Footwear,Cricket,Vapor Cricket,Premium,18106,4164380,68,230
541,March,India,Apparel,Tops,Therma-FIT,Budget,20599,4737770,57,230
542,February,America,Equipment,Socks,Performance Socks,Budget,19586,3721340,51,190
543,January,Greater China,Equipment,Accessories,Bags,Mid-Range,45518,10924320,87,240
544,October,Greater China,Equipment,Bags,Backpack,Mid-Range,9831,2949300,68,300
545,September,India,Equipment,Accessories,Hats,Budget,42842,9425240,62,220
546,June,America,Equipment,Socks,Crew Socks,Budget,31869,7648560,74,240
547,September,Greater China,Apparel,Tops,Tech Fleece,Budget,26433,4493610,77,170
548,April,Greater China,Apparel,Outerwear,Windrunner,Premium,44154,13246200,50,300
549,November,Japan,Footwear,Running,Pegasus,Mid-Range,11072,775040,54,70
550,December,Europe,Apparel,Tops,Therma-FIT,Budget,32012,9603600,68,300
551,March,America,Footwear,Football,Mercurial,Mid-Range,45408,4086720,90,90
552,May,South Korea,Equipment,Socks,Performance Socks,Premium,49226,6891640,85,140
553,August,America,Equipment,Bags,Backpack,Mid-Range,26258,4726440,55,180
554,July,Europe,Apparel,Tops,Therma-FIT,Budget,29472,7662720,58,260
555,February,South Korea,Apparel,Tops,Therma-FIT,Budget,45392,12255840,72,270
556,April,Southeast Asia,Equipment,Accessories,Bags,Premium,40254,10466040,58,260
557,February,Greater China,Equipment,Bags,Gym Sack,Mid-Range,40110,2807700,71,70
558,August,Greater China,Equipment,Bags,Gym Sack,Budget,14684,2055760,81,140
559,September,Europe,Equipment,Accessories,Hats,Mid-Range,29332,8506280,63,290
560,December,Europe,Equipment,Bags,Backpack,Mid-Range,32488,9421520,77,290
561,March,Southeast Asia,Equipment,Accessories,Bags,Budget,34976,10143040,81,290
562,December,South Korea,Apparel,Performance,Compression Wear,Budget,5301,1484280,89,280
563,October,Greater China,Apparel,Outerwear,Windrunner,Premium,36648,6230160,68,170
564,December,Greater China,Equipment,Accessories,Hats,Premium,25857,4654260,79,180
565,April,India,Apparel,Performance,Dri-FIT,Mid-Range,37722,3017760,64,80
566,January,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,33638,3027420,68,90
567,March,America,Footwear,Basketball,LeBron Series,Premium,41534,5814760,56,140
568,January,Japan,Equipment,Bags,Backpack,Budget,38021,4182310,61,110
569,September,Europe,Apparel,Tops,Therma-FIT,Mid-Range,37325,2612750,59,70
570,June,Southeast Asia,Equipment,Accessories,Bags,Budget,20952,3561840,79,170
571,September,India,Equipment,Accessories,Hats,Premium,45895,12850600,56,280
572,October,India,Apparel,Performance,Compression Wear,Mid-Range,32295,6459000,82,200
573,October,South Korea,Apparel,Tops,Therma-FIT,Budget,9299,464950,59,50
574,August,Japan,Equipment,Accessories,Hats,Budget,46727,3738160,76,80
575,September,India,Equipment,Socks,Performance Socks,Budget,6482,972300,65,150
576,May,South Korea,Footwear,Football,Mercurial,Mid-Range,41555,2908850,83,70
577,September,Europe,Footwear,Basketball,KD Series,Premium,18476,3879960,70,210
578,August,India,Equipment,Socks,Performance Socks,Premium,29723,8025210,71,270
579,July,India,Footwear,Running,React Infinity,Budget,9468,1136160,51,120
580,June,Southeast Asia,Apparel,Outerwear,Windrunner,Budget,13888,1944320,69,140
581,April,Greater China,Footwear,Lifestyle,Air Max,Mid-Range,7166,358300,77,50
582,March,South Korea,Equipment,Accessories,Bags,Budget,19819,2180090,90,110
583,February,India,Apparel,Tops,Tech Fleece,Mid-Range,25048,3256240,81,130
584,March,Greater China,Apparel,Performance,Compression Wear,Premium,5985,1197000,64,200
585,March,Southeast Asia,Apparel,Outerwear,Rain Jacket,Mid-Range,17951,3590200,57,200
586,December,Greater China,Footwear,Football,Phantom Vision,Mid-Range,44234,9731480,56,220
587,May,America,Footwear,Lifestyle,Air Force 1,Mid-Range,7516,1202560,75,160
588,August,Greater China,Equipment,Socks,Crew Socks,Budget,13150,3024500,73,230
589,October,Europe,Footwear,Basketball,LeBron Series,Budget,14646,2489820,77,170
590,March,India,Equipment,Accessories,Bags,Budget,35223,4578990,80,130
591,November,America,Footwear,Running,Pegasus,Mid-Range,29941,2395280,60,80
592,August,America,Apparel,Outerwear,Rain Jacket,Mid-Range,41476,11198520,77,270
593,September,Southeast Asia,Equipment,Bags,Backpack,Budget,43727,6121780,72,140
594,September,Japan,Footwear,Lifestyle,Air Force 1,Mid-Range,17902,1611180,65,90
595,June,India,Equipment,Accessories,Hats,Mid-Range,7966,1672860,58,210
596,April,India,Equipment,Bags,Backpack,Mid-Range,7918,1029340,64,130
597,April,India,Apparel,Tops,Therma-FIT,Mid-Range,47144,3300080,79,70
598,December,America,Footwear,Lifestyle,Air Max,Budget,24291,6558570,76,270
599,March,Japan,Footwear,Running,Air Zoom,Premium,32367,9386430,71,290
600,December,Greater China,Apparel,Outerwear,Windrunner,Mid-Range,18093,4342320,60,240
601,October,America,Apparel,Performance,Compression Wear,Budget,12917,1937550,75,150
602,November,Southeast Asia,Equipment,Socks,Crew Socks,Premium,36635,3663500,71,100
603,October,Greater China,Apparel,Tops,Tech Fleece,Budget,49105,7365750,84,150
604,January,India,Equipment,Bags,Gym Sack,Mid-Range,36483,8391090,70,230
605,May,America,Equipment,Socks,Performance Socks,Budget,39080,2344800,66,60
606,May,Europe,Apparel,Performance,Compression Wear,Mid-Range,17357,1041420,76,60
607,September,India,Footwear,Football,Mercurial,Budget,9310,2234400,77,240
608,February,Europe,Footwear,Running,React Infinity,Budget,26264,6566000,82,250
609,September,America,Footwear,Cricket,Vapor Cricket,Budget,16306,4239560,65,260
610,February,Japan,Equipment,Bags,Backpack,Budget,34648,8662000,86,250
611,July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,22720,6134400,62,270
612,May,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,22115,5749900,81,260
613,September,Japan,Footwear,Running,Air Zoom,Budget,17475,5242500,66,300
614,November,India,Equipment,Accessories,Hats,Budget,19905,1592400,72,80
615,April,South Korea,Equipment,Bags,Backpack,Premium,25935,3112200,62,120
616,July,India,Apparel,Outerwear,Rain Jacket,Premium,24791,6693570,64,270
617,April,Japan,Equipment,Accessories,Bags,Premium,42503,8075570,55,190
618,May,America,Apparel,Performance,Compression Wear,Mid-Range,22852,6627080,58,290
619,March,Europe,Footwear,Cricket,Vapor Cricket,Premium,46131,5074410,84,110
620,February,Greater China,Apparel,Performance,Compression Wear,Mid-Range,8085,404250,85,50
621,September,Japan,Footwear,Football,Mercurial,Budget,31557,3786840,82,120
622,March,Japan,Footwear,Football,Phantom Vision,Mid-Range,39353,9051190,51,230
623,October,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,22174,3104360,60,140
624,September,Southeast Asia,Equipment,Socks,Performance Socks,Budget,31434,5029440,81,160
625,October,America,Equipment,Bags,Backpack,Premium,15693,4237110,61,270
626,August,America,Footwear,Running,React Infinity,Budget,13144,920080,73,70
627,December,America,Apparel,Performance,Dri-FIT,Premium,21823,6546900,55,300
628,February,Southeast Asia,Apparel,Tops,Tech Fleece,Premium,42443,2546580,54,60
629,November,India,Equipment,Accessories,Bags,Mid-Range,41655,7914450,89,190
630,September,South Korea,Equipment,Bags,Gym Sack,Budget,7510,826100,52,110
631,December,Greater China,Apparel,Performance,Dri-FIT,Budget,17534,2630100,68,150
632,April,Europe,Footwear,Football,Mercurial,Premium,21644,5627440,64,260
633,November,Europe,Equipment,Accessories,Hats,Premium,42755,8123450,56,190
634,July,America,Footwear,Football,Mercurial,Budget,7886,1656060,84,210
635,June,India,Footwear,Cricket,Vapor Cricket,Premium,45908,12854240,83,280
636,April,Japan,Footwear,Basketball,Air Jordan,Mid-Range,11441,2059380,50,180
637,July,South Korea,Equipment,Socks,Performance Socks,Premium,8582,1630580,88,190
638,July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Premium,24571,4668490,76,190
639,October,Japan,Apparel,Performance,Compression Wear,Mid-Range,23265,2791800,68,120
640,September,Greater China,Apparel,Performance,Compression Wear,Budget,16048,2567680,55,160
641,April,Japan,Apparel,Outerwear,Rain Jacket,Budget,11929,2027930,55,170
642,September,Japan,Equipment,Accessories,Bags,Premium,18012,2161440,89,120
643,June,Southeast Asia,Footwear,Cricket,Vapor Cricket,Budget,17105,3763100,52,220
644,December,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,48239,13989310,55,290
645,June,Southeast Asia,Equipment,Bags,Gym Sack,Mid-Range,35378,3184020,55,90
646,June,India,Equipment,Bags,Backpack,Budget,18421,4421040,63,240
647,December,South Korea,Equipment,Accessories,Bags,Premium,38527,2311620,73,60
648,September,America,Equipment,Bags,Gym Sack,Mid-Range,33938,3054420,72,90
649,September,America,Equipment,Socks,Crew Socks,Mid-Range,36001,4320120,77,120
650,September,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,45981,7816770,69,170
651,February,Southeast Asia,Equipment,Socks,Performance Socks,Mid-Range,37934,9483500,87,250
652,November,Greater China,Equipment,Socks,Performance Socks,Budget,28857,6925680,54,240
653,August,South Korea,Equipment,Bags,Backpack,Premium,39481,4342910,55,110
654,September,Europe,Footwear,Basketball,Air Jordan,Premium,47844,5262840,89,110
655,January,South Korea,Footwear,Cricket,Vapor Cricket,Budget,47739,14321700,83,300
656,December,Southeast Asia,Equipment,Socks,Crew Socks,Premium,35535,7107000,84,200
657,December,India,Footwear,Lifestyle,Air Max,Budget,28409,4545440,60,160
658,March,America,Equipment,Socks,Performance Socks,Premium,28418,1989260,90,70
659,May,Japan,Apparel,Outerwear,Windrunner,Mid-Range,10974,2743500,77,250
660,December,South Korea,Equipment,Bags,Backpack,Mid-Range,49542,13871760,61,280
661,December,Europe,Equipment,Bags,Gym Sack,Premium,13770,1101600,75,80
662,June,America,Footwear,Running,Pegasus,Mid-Range,28729,3447480,89,120
663,May,Greater China,Equipment,Accessories,Bags,Budget,22736,6138720,64,270
664,September,Greater China,Apparel,Tops,Therma-FIT,Premium,13352,667600,57,50
665,May,Japan,Equipment,Socks,Crew Socks,Mid-Range,12389,3468920,61,280
666,September,Greater China,Footwear,Lifestyle,Air Max,Budget,33989,4418570,51,130
667,August,Japan,Footwear,Lifestyle,Blazer,Premium,39447,8678340,59,220
668,September,Greater China,Apparel,Outerwear,Windrunner,Premium,41665,10832900,60,260
669,July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Mid-Range,48935,11255050,75,230
670,April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,31306,8452620,79,270
671,July,South Korea,Apparel,Outerwear,Rain Jacket,Mid-Range,9218,1659240,88,180
672,March,Southeast Asia,Footwear,Running,Pegasus,Budget,17097,2906490,90,170
673,May,Greater China,Footwear,Lifestyle,Blazer,Premium,20719,1864710,65,90
674,September,Greater China,Footwear,Basketball,LeBron Series,Budget,12456,996480,80,80
675,May,Greater China,Equipment,Bags,Gym Sack,Budget,36767,9559420,52,260
676,October,South Korea,Equipment,Bags,Backpack,Premium,35801,3938110,63,110
677,November,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,42813,10703250,78,250
678,October,Europe,Apparel,Outerwear,Windrunner,Mid-Range,40882,6132300,62,150
679,January,America,Footwear,Football,Mercurial,Mid-Range,11227,2582210,50,230
680,July,India,Footwear,Lifestyle,Blazer,Budget,31163,6544230,76,210
681,June,Europe,Footwear,Cricket,Vapor Cricket,Budget,46617,5594040,57,120
682,February,Japan,Equipment,Bags,Backpack,Budget,43543,10014890,58,230
683,June,Southeast Asia,Equipment,Bags,Gym Sack,Budget,14871,3717750,76,250
684,December,Europe,Equipment,Socks,Crew Socks,Mid-Range,49189,14264810,61,290
685,April,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,37179,5948640,63,160
686,August,Japan,Footwear,Basketball,Air Jordan,Premium,21319,5116560,77,240
687,August,India,Equipment,Accessories,Bags,Mid-Range,18855,3205350,59,170
688,September,Japan,Apparel,Performance,Compression Wear,Mid-Range,35777,7513170,87,210
689,October,India,Footwear,Lifestyle,Air Force 1,Mid-Range,48761,6826540,86,140
